category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Indie Games,"29 Nov, 2006",Facepunch Studios,Garry's Mod,"win,mac,linux","3547,80 руб.",Overwhelmingly Positive,993594,"Sandbox,Moddable,Multiplayer,Physics,Building,Casual,Funny,First-Person,Singleplayer,FPS,Simulation,Comedy,Online,Co-Op,Shooter,Co-op,Action,Indie,PvP,Realistic,Exploration"
Sports Games/EA Sports Franchise,"6 Apr, 2023",Electronic Arts - Tiburon,EA SPORTS™ PGA TOUR™,win,None,Mixed,1708,"Sports,RPG,Co-op,Local,Co-Op,Golf,Local,Multiplayer,Multiplayer,Online,Co-Op"
Sports Games,"7 Nov, 2016",Babeltime,RoboSports VR,win,None,Mixed,23,"Early,Access,Sports,VR"
Sports Games,"7 Apr, 2023",Appnori Inc.,All-In-One Sports VR,win,"801,50 руб.",Very Positive,667,"VR,Simulation,Sports,Baseball,Basketball,Bowling,Casual,Boxing,Archery,Tennis,Pool,Golf,Arcade,eSports,Physics,6DOF,Realistic,Singleplayer,Multiplayer,Action"
Sports Games,"13 Mar, 2017",SAT-BOX,VR SUPER SPORTS,win,816 руб.,Mixed,112,"Sports,Action,Indie,Casual,VR,Boxing,Archery,Simulation,Basketball,Racing,Bowling"
Sports Games,"19 Aug, 2017",Happy Bat,VR Table Sports,win,"278,80 руб.",Mostly Positive,10,"Simulation,Indie,Casual,Sports,VR,Multiplayer,Football,(Soccer)"
Action Games,"19 Jul, 2018",Luckshot Games,Sausage Sports Club,"win,mac","433,80 руб.",Mostly Positive,20,"Action,Indie,Adventure,Casual,4,Player,Local,Local,Multiplayer,Physics,Local,Co-Op,Funny,Sports,Cute,Controller,Singleplayer,Third,Person,Comedy,Great,Soundtrack,Short,Platformer,Co-op,Family,Friendly"
Simulation Games/EA Sports Franchise,"28 Sep, 2023",EA CanadaEA Romania,EA SPORTS FC™ 24,win,None,Mixed,92390,"Football,(Soccer),Sports,Controller,Multiplayer,PvP,eSports,Competitive,PvE,Local,Multiplayer,3D,Simulation,Online,Co-Op,Singleplayer,Realistic,Local,Co-Op,Co-op,Family,Friendly,Action,First-Person,Early,Access"
Sports Games,"29 Jan, 2021",Unfinished Pixel,Super Sports Blast,win,None,Positive,47,"Sports,Casual,Arcade,Football,(Soccer),Tennis,Local,Multiplayer,Family,Friendly,Local,Co-Op,Cartoony,Colorful,Indie,Co-op,3D,Singleplayer"
Free To Play Games,"21 Nov, 2024",iDreamSky,Strinova,win,None,Mostly Positive,24941,"Free,to,Play,Anime,Third-Person,Shooter,Hero,Shooter,FPS,Multiplayer,Shooter,PvP,Action,Third,Person,eSports,Real,Time,Tactics,Online,Co-Op,Team-Based,Co-op,3D,Female,Protagonist,2D,MOBA,Casual"
Sports Games,"1 Jun, 2016",Cherry Pop GamesPerilous Orbit,Sports Bar VR,win,None,Very Positive,787,"VR,Snooker,Sports,Simulation,Casual,Pool,Indie,Local,Multiplayer,Strategy,Physics,Multiplayer,Addictive"
Sports Games/Agger Interactive Franchise,"3 Feb, 2021",Lotte|EoD,Worldwide Sports Fishing,"win,mac",968 руб.,Positive,43,"Indie,Action,Simulation,Sports,Adventure,Casual,Relaxing,FPS,First-Person,Fishing,Replay,Value,Family,Friendly,Multiplayer,Atmospheric,Realistic,Open,World,Survival"
Sports Games,"29 Sep, 2021",KONAMI,eFootball™,win,None,Mixed,90869,"Football,(Soccer),Free,to,Play,Controller,Multiplayer,Sports,eSports,Simulation,Local,Multiplayer,PvP,Co-op,Singleplayer,Online,Co-Op,Local,Co-Op,Realistic,Comedy,Memes,Violent,Anime,LGBTQ+,Funny"
Sports Games,To be announced,MADE BY TITANS,Squishy Sports,win,None,,,"2D,Sports,Physics,Party,Game,Party,Family,Friendly,Local,Multiplayer,4,Player,Local,Multiplayer,PvP,Competitive,Arcade,Cartoon,Cute,Stylized,Colorful,Basketball,Football,(Soccer),Indie,Team-Based"
Sports Games,To be announced,DX Gameworks LLCGixer Entertainment,Toy Sports,win,None,,,"Casual,Sports,Family,Friendly,Score,Attack,Multiplayer,Cute,Physics,Colorful,Basketball,Funny,Football,(Soccer),Bowling,Cartoony,eSports,Golf,Controller,Racing,PvP,3D,Collectathon"
Indie Games,"7 Feb, 2024",BLOK Games,Mini Sports,"win,mac,linux",None,Mixed,19,"Indie,Casual,Sports,PvP,Multiplayer,2D,Party,Real,Time,Tactics,Turn-Based,Tactics,Racing,Pool,Archery,Mini,Golf,Competitive,Relaxing,Tactical,Cartoony,Colorful,Free,to,Play"
Simulation Games,"10 Nov, 2021",FishSoft LLC,Russian Fishing 4,win,None,Mixed,72337,"Fishing,Multiplayer,Free,to,Play,Simulation,Nature,Realistic,Relaxing,First-Person,Crafting,Immersive,Sim,Sports,Atmospheric,Singleplayer,Open,World,Survival,Massively,Multiplayer,Casual,Adventure,RPG,Family,Friendly"
Racing Games/EA Sports Franchise,"2 Nov, 2023",Codemasters,EA SPORTS™ WRC,win,None,Mixed,8951,"Racing,Simulation,Automobile,Sim,Sports,Offroad,Multiplayer,PvP,Singleplayer,VR,Early,Access,Driving,Realistic"
