category,date,developer,name,platforms,price,rate,reviews_numbers,tags
Indie Games,"13 Mar, 2020",Boogygames Studios,Fantasy Memory Card Game,win,"417,90zł",2 user reviews,2,"Card,Game,Board,Game,Puzzle,Point,&,Click,Match,3,Relaxing,Tabletop,RPG,Strategy,2D,Casual,Minimalist,Dark,Fantasy,Fantasy,Medieval,Mythology,Adventure,Illuminati,Singleplayer,Indie"
Strategy Games,"31 Jan, 2021",Death,Death Trading Card Game,win,None,,,"Massively,Multiplayer,Action,MMORPG,Survival,Adventure,Casual,Open,World,Survival,Craft,RPG,Strategy,Card,Game,Clicker,Trading,Card,Game,Turn-Based,Tactics,2D,3D,Cartoon,Cartoony,Management,Sci-fi,PvP"
Indie Games,"22 Sep, 2016",SIA Next Level,Siege - the card game,"win,mac,linux",None,8 user reviews,8,"Indie,Strategy,Card,Game"
Free To Play Games,"9 Aug, 2019",Salo,Myths and Legends - Card Game,"win,mac",None,Mixed,588,"Strategy,Free,to,Play,Indie,Casual,Early,Access,Card,Game,Violent,Sexual,Content"
Strategy Games,"10 Aug, 2018",Konstantin Dvornikov,Combiner the Card Game,win,None,1 user reviews,1,"Indie,Strategy"
Indie Games,"1 May, 2025",Gamer Time Zone,Lunch: The Card Game,"win,mac",None,1 user reviews,1,"Strategy,Deckbuilding,Multiplayer,Casual,Card,Game,Board,Game,Tabletop,2D,Cartoony,Indie,Choices,Matter,Singleplayer"
Casual Games,"29 Aug, 2022",JD Software LLC,Speed the Card Game,win,None,6 user reviews,6,"Card,Game,Fast-Paced,Tabletop,Puzzle,Strategy,Solitaire,Card,Battler,Casual,2D,Racing,Family,Friendly,Old,School,Retro,PvP,Deckbuilding,Multiplayer,Singleplayer,Local,Multiplayer,Free,to,Play"
Free To Play Games/Gamirror Games Franchise,"21 Jan, 2024",Darksun Studio,Yi Xian: The Cultivation Card Game,"win,mac,linux",None,Mostly Positive,6054,"Free,to,Play,Card,Battler,Strategy,Turn-Based,Tactics,Casual,Card,Game,Solitaire,Turn-Based,Strategy,2D,Auto,Battler,Turn-Based,Combat,Relaxing,Indie,Singleplayer,Pixel,Graphics,PvP,Multiplayer,Martial,Arts,Nudity,Sexual,Content"
Indie Games,"16 Jun, 2023",Interestick,Stack Island - Survival card game,"win,mac",None,Mostly Positive,10,"Simulation,Card,Game,Survival,Crafting,Puzzle,Casual,Singleplayer,Choose,Your,Own,Adventure,Exploration,Indie,Early,Access,Strategy,Adventure,Nature,2D,Solitaire"
Indie Games,"29 Jul, 2022",kan.kikuchi,Cats Yakuza - Online card game,"win,mac","32,78zł",Positive,24,"Cats,Casual,Card,Game,PvP,Cute,Board,Game,Strategy,Turn-Based,Tactics,Realistic,Multiplayer,Card,Battler,Indie,Arcade,Turn-Based,Strategy,Tabletop,2D"
Casual Games/Mens Sana Interactive Franchise,"20 Jun, 2022",Mens Sana Interactive,Little Inner Monsters - Card Game,"win,mac","11,49zł",Positive,47,"Card,Battler,Turn-Based,Tactics,Card,Game,Board,Game,Creature,Collector,Solitaire,PvP,Puzzle,Multiplayer,Tabletop,Turn-Based,Strategy,Strategy,Cute,Relaxing,Casual,Cartoony,Colorful,Hand-drawn,Family,Friendly,Simulation"
Strategy Games,"18 Feb, 2019",Fifth Column Games,War of Omens Card Game,"win,mac",None,Very Positive,680,"Free,to,Play,Strategy,Indie,Card,Game,Deckbuilding"
Adventure Games,"14 Mar, 2024",ST Stepanov Ivan AndreevichRecently Played,Museum Mystery: Deckbuilding Card Game,win,None,Very Positive,157,"Card,Battler,Roguelite,Turn-Based,Card,Game,Roguelike,Strategy,RPG,2D,3D,Story,Rich,Turn-Based,Combat,Choices,Matter,Deckbuilding,Fantasy,Magic,Atmospheric,Adventure,Singleplayer,Roguelike,Deckbuilder,Indie"
Free To Play Games,"24 Dec, 2023",The Big Marck,Battle Of Zodiacs - Card Game,win,None,Positive,23,"Strategy,Trading,Card,Game,PvP,eSports,Card,Battler,Deckbuilding,Card,Game,Fantasy,Turn-Based,Tactics,3D,Medieval,Tower,Defense,Turn-Based,Strategy,Multiplayer,Atmospheric,Mythology,Magic,Tactical,Class-Based,RPG"
Casual Games,"12 Dec, 2019",Nomad Games,Cat Lady - The Card Game,win,None,Very Positive,210,"Casual,Strategy,Cats,Card,Game,Solitaire,Tabletop,Board,Game,Singleplayer,Indie,Cute,Puzzle,2D,Cartoon,Colorful,Hand-drawn,PvP,Resource,Management,Tutorial,Multiplayer,Local,Multiplayer"
Indie Games,To be announced,NEIL EFREMENKOV,21Pirates Card Game,win,None,,,"Casual,Simulation,Strategy,Card,Game,Tabletop,Board,Game,Atmospheric,Pirates,Indie,Early,Access,Singleplayer,Multiplayer"
Strategy Games/YAW Studios Franchise,To be announced,YAW Studios,Geometric Sniper - Card Game,win,None,,,"Roguelike,Deckbuilder,Card,Battler,Card,Game,Roguelike,Sniper,Strategy,Casual,Deckbuilding,Turn-Based,Singleplayer,Indie,Roguelite,Replay,Value,Procedural,Generation,Dungeon,Crawler,RPG,Tabletop,Hand-drawn,Military,Mouse,only"
Simulation Games,"3 Mar, 2020",XOCUS,Fighting Clans,win,None,Mixed,38,"Indie,Action,Simulation,Gore,Violent,Early,Access,VR,Boxing,Fighting,Singleplayer,Experience,Great,Soundtrack,First-Person,Blood,3D,Fighter,Sports,Competitive,Physics,Atmospheric"
Indie Games,"21 Nov, 2021",HFM Games,Fighting Robots,win,"66,08zł",Mixed,209,"3D,Fighter,Robots,6DOF,PvP,Physics,Character,Customization,Action,Spectacle,fighter,Martial,Arts,Side,Scroller,3D,Idler,Boxing,Combat,Wrestling,Futuristic,Multiplayer,Cyberpunk,Indie,Sports"
